2019-02-01, 04:00-05:00, Errors count: 1
2019-02-01, 22:00-23:00, Errors count: 1
2019-03-01, 07:00-08:00, Errors count: 1
2019-05-01, 17:00-18:00, Errors count: 1
2019-05-01, 21:00-22:00, Errors count: 1
2019-06-01, 09:00-10:00, Errors count: 1
2019-08-01, 00:00-01:00, Errors count: 1
2019-12-01, 06:00-07:00, Errors count: 1
2019-12-01, 08:00-09:00, Errors count: 1
2019-12-01, 21:00-22:00, Errors count: 1
2019-16-01, 02:00-03:00, Errors count: 1
2019-16-01, 07:00-08:00, Errors count: 1
2019-16-01, 13:00-14:00, Errors count: 1
2019-22-01, 03:00-04:00, Errors count: 1
2019-26-01, 08:00-09:00, Errors count: 1
2019-27-01, 09:00-10:00, Errors count: 1
2019-27-01, 19:00-20:00, Errors count: 1
2019-28-01, 15:00-16:00, Errors count: 1
2019-29-01, 10:00-11:00, Errors count: 1
2019-30-01, 00:00-01:00, Errors count: 1
2019-02-02, 01:00-02:00, Errors count: 1
2019-05-02, 07:00-08:00, Errors count: 1
2019-08-02, 05:00-06:00, Errors count: 1
2019-08-02, 17:00-18:00, Errors count: 2
2019-09-02, 20:00-21:00, Errors count: 1
2019-10-02, 17:00-18:00, Errors count: 1
2019-14-02, 04:00-05:00, Errors count: 1
2019-16-02, 06:00-07:00, Errors count: 1
2019-16-02, 19:00-20:00, Errors count: 1
2019-17-02, 23:00-00:00, Errors count: 1
2019-18-02, 09:00-10:00, Errors count: 1
2019-20-02, 15:00-16:00, Errors count: 1
2019-23-02, 22:00-23:00, Errors count: 1
2019-25-02, 17:00-18:00, Errors count: 1
2019-27-02, 00:00-01:00, Errors count: 1
2019-01-03, 02:00-03:00, Errors count: 1
2019-01-03, 04:00-05:00, Errors count: 1
2019-01-03, 18:00-19:00, Errors count: 1
2019-02-03, 12:00-13:00, Errors count: 1
2019-05-03, 11:00-12:00, Errors count: 1
2019-06-03, 02:00-03:00, Errors count: 1
2019-06-03, 05:00-06:00, Errors count: 1
2019-14-03, 11:00-12:00, Errors count: 1
2019-16-03, 04:00-05:00, Errors count: 1
2019-16-03, 08:00-09:00, Errors count: 1
2019-16-03, 11:00-12:00, Errors count: 1
2019-17-03, 04:00-05:00, Errors count: 1
2019-18-03, 07:00-08:00, Errors count: 1
2019-22-03, 16:00-17:00, Errors count: 1
2019-22-03, 20:00-21:00, Errors count: 1
2019-25-03, 03:00-04:00, Errors count: 1
2019-26-03, 07:00-08:00, Errors count: 1
2019-27-03, 14:00-15:00, Errors count: 1
2019-29-03, 13:00-14:00, Errors count: 1
2019-31-03, 00:00-01:00, Errors count: 1
2019-02-04, 17:00-18:00, Errors count: 1
2019-02-04, 23:00-00:00, Errors count: 1
2019-04-04, 12:00-13:00, Errors count: 1
2019-05-04, 11:00-12:00, Errors count: 1
2019-05-04, 14:00-15:00, Errors count: 1
2019-11-04, 14:00-15:00, Errors count: 1
2019-13-04, 03:00-04:00, Errors count: 1
2019-13-04, 08:00-09:00, Errors count: 1
2019-16-04, 12:00-13:00, Errors count: 1
2019-18-04, 12:00-13:00, Errors count: 1
2019-23-04, 03:00-04:00, Errors count: 1
2019-23-04, 05:00-06:00, Errors count: 1
2019-23-04, 10:00-11:00, Errors count: 1
2019-24-04, 14:00-15:00, Errors count: 1
2019-24-04, 17:00-18:00, Errors count: 1
2019-26-04, 07:00-08:00, Errors count: 1
2019-27-04, 19:00-20:00, Errors count: 1
2019-28-04, 12:00-13:00, Errors count: 1
2019-30-04, 00:00-01:00, Errors count: 1
2019-30-04, 06:00-07:00, Errors count: 1
2019-30-04, 11:00-12:00, Errors count: 1
2019-30-04, 21:00-22:00, Errors count: 1
2019-30-04, 22:00-23:00, Errors count: 1
2019-02-05, 12:00-13:00, Errors count: 1
2019-02-05, 22:00-23:00, Errors count: 1
2019-04-05, 23:00-00:00, Errors count: 1
2019-06-05, 02:00-03:00, Errors count: 1
2019-06-05, 10:00-11:00, Errors count: 1
2019-06-05, 11:00-12:00, Errors count: 1
2019-07-05, 09:00-10:00, Errors count: 1
2019-10-05, 06:00-07:00, Errors count: 1
2019-12-05, 20:00-21:00, Errors count: 1
2019-13-05, 20:00-21:00, Errors count: 1
2019-14-05, 09:00-10:00, Errors count: 1
2019-14-05, 18:00-19:00, Errors count: 1
2019-16-05, 02:00-03:00, Errors count: 1
2019-16-05, 05:00-06:00, Errors count: 1
2019-16-05, 10:00-11:00, Errors count: 1
2019-18-05, 00:00-01:00, Errors count: 1
2019-18-05, 12:00-13:00, Errors count: 1
2019-19-05, 18:00-19:00, Errors count: 1
2019-22-05, 04:00-05:00, Errors count: 1
2019-25-05, 15:00-16:00, Errors count: 1
2019-26-05, 02:00-03:00, Errors count: 1
2019-26-05, 18:00-19:00, Errors count: 1
2019-29-05, 08:00-09:00, Errors count: 1
2019-31-05, 03:00-04:00, Errors count: 1
2019-31-05, 13:00-14:00, Errors count: 1
2019-02-06, 05:00-06:00, Errors count: 1
2019-02-06, 21:00-22:00, Errors count: 1
2019-10-06, 09:00-10:00, Errors count: 1
2019-10-06, 15:00-16:00, Errors count: 1
2019-11-06, 06:00-07:00, Errors count: 1
2019-11-06, 23:00-00:00, Errors count: 1
2019-12-06, 18:00-19:00, Errors count: 1
2019-17-06, 08:00-09:00, Errors count: 1
2019-19-06, 20:00-21:00, Errors count: 1
2019-24-06, 15:00-16:00, Errors count: 1
2019-25-06, 07:00-08:00, Errors count: 1
2019-25-06, 22:00-23:00, Errors count: 1
2019-27-06, 15:00-16:00, Errors count: 1
2019-28-06, 05:00-06:00, Errors count: 1
2019-28-06, 23:00-00:00, Errors count: 1
2019-01-07, 00:00-01:00, Errors count: 1
2019-01-07, 16:00-17:00, Errors count: 1
2019-03-07, 18:00-19:00, Errors count: 1
2019-07-07, 04:00-05:00, Errors count: 1
2019-08-07, 10:00-11:00, Errors count: 1
2019-08-07, 14:00-15:00, Errors count: 1
2019-09-07, 03:00-04:00, Errors count: 1
2019-12-07, 23:00-00:00, Errors count: 1
2019-16-07, 01:00-02:00, Errors count: 1
2019-17-07, 06:00-07:00, Errors count: 1
2019-18-07, 12:00-13:00, Errors count: 1
2019-22-07, 08:00-09:00, Errors count: 1
2019-23-07, 19:00-20:00, Errors count: 1
2019-23-07, 23:00-00:00, Errors count: 1
2019-24-07, 16:00-17:00, Errors count: 1
2019-25-07, 14:00-15:00, Errors count: 1
2019-27-07, 17:00-18:00, Errors count: 1
2019-30-07, 12:00-13:00, Errors count: 1
2019-31-07, 21:00-22:00, Errors count: 1
2019-31-07, 22:00-23:00, Errors count: 1
2019-01-08, 04:00-05:00, Errors count: 1
